"Y"  "X1" "X2" "X3" "X4" "X5"
8 0.364 33422.7 55 12 8
9 0.517 13230 0 12 8
5 0.408 14920 77 12 10
9 0.36 19710 78 12 10
10 0.36 47996.8 16 12 8
6 0.36 5912.3 70 12 10
8 0.457 12655.5 15 12 8
14 0.424 40570.9 4 12 2
0 0.356 10001 20 12 8
9 0.355 21910.3 22 12 8
5 0.559 13781.8 22 12 10
5 0.354 3823.1 6 12 8
6 0.353 3783.8 6 12 8
14 0.4 60500 6 12 2
3 0.4 9470 70 12 13
3 0.545 11433 22 12 8
7 0.352 5478 99 12 8
3 0.444 10625.8 70 12 11
5 0.397 5463.4 99 12 8
7 0.35 3987 99 12 8
5 0.349 17031 70 12 10
3 0.348 4176.9 60 12 10
2 0.395 18315 36 12 7
2 0.348 3740 4 12 8
9 0.348 13840.9 22 12 10
4 0.394 10620 70 12 13
5 0.346 10620 70 12 13
6 0.392 3377.2 4 12 5
7 0.526 17520.6 46 12 8
7 0.341 18609.3 22 12 8
5 0.388 13882.2 99 12 8
3 0.341 5482.9 99 12 8
3 0.339 3281.4 4 12 4
6 0.432 4059 99 12 10
6 0.34 13436.5 70 12 10
5 0.336 24736.7 12 12 10
11 0.43 32169.4 20 12 8
7 0.336 32050 47 12 8
5 0.381 4085 99 12 10
8 0.333 12780 14 12 8
6 0.333 18642.4 16 12 10
4 0.33 9780.2 0 12 4
7 0.33 34560.5 31 12 8
7 0.33 29828.1 64 12 10
5 0.329 12780 99 12 11
12 0.329 58800 6 12 2
7 0.329 4103.9 99 12 10
3 0.328 7000 14 12 8
6 0.327 7501.9 4 12 11
2 0.327 3015 4 12 4
11 0.327 21620 99 12 10
6 0.326 10876.8 22 12 8
5 0.326 10620 70 12 13
5 0.372 13843.8 70 12 8
4 0.324 7970 69 12 11
2 0.331 6970 20 12 10
2 0.322 4110.7 99 12 10
7 0.322 13886.5 22 12 10
3 0.368 12191.2 22 12 11
0 0.321 10441.75 94 12 10
5 0.368 13833.3 70 12 8
14 0.32 60677.3 6 12 2
7 0.414 11624.7 22 12 8
6 0.32 16000 0 12 8
0 0.32 7694.5 22 12 8
3 0.32 3284.8 4 12 8
6 0.319 3789.2 6 12 8
2 0.412 3638.7 4 12 4
11 0.318 37450 44 12 8
6 0.412 10620 70 12 13
6 0.318 15190 12 12 8
8 0.317 33495.9 55 12 8
3 0.498 7690 22 12 8
7 0.317 8180 70 12 13
10 0.315 21789.6 46 12 10
6 0.314 15800 36 12 16
8 0.361 32929.2 22 12 8
6 0.313 10620 70 12 13
6 0.407 13276.9 46 12 8
12 0.312 49000 16 12 8
0 0.312 5856 23 12 10
4 0.31 6670.3 4 12 4
0 0.339 8358.2 32 12 10
0 0.31 4168.9 60 12 10
0 0.404 5696.9 99 12 10
11 0.31 27089.8 22 12 8
3 0.31 2383.5 0 12 4
8 0.309 11913.3 0 12 8
9 0.309 25899.3 51 12 10
7 0.308 9570 46 12 8
7 0.308 21780.9 46 12 10
5 0.307 8180 70 12 13
8 0.389 19738.9 0 12 3
2 0.305 5580.1 4 12 4
9 0.351 17290 22 12 10
7 0.351 13821.8 70 12 10
6 0.303 25286.5 40 12 8
6 0.303 8884.8 4 12 4
11 0.303 36400 50 12 8
0 0.303 8815.9 46 12 8
5 0.303 6424.4 22 12 8
8 0.301 21773 22 12 10
5 0.301 15190 22 12 8
5 0.348 4145.2 99 12 10
5 0.395 10225.4 70 12 11
4 0.3 5126.7 4 12 4
8 0.392 25532.22 12 12 8
4 0.298 11910.6 12 12 8
9 0.295 43672.4 12 12 8
3 0.389 4668 0 12 4
7 0.388 21750 16 12 8
6 0.386 25320 12 12 2
7 0.292 11508.3 70 12 8
4 0.339 10620 70 12 13
4 0.294 5452.7 99 12 10
3 0.291 2989 4 12 4
4 0.29 5439.5 99 12 10
3 0.289 5442.1 99 12 10
5 0.384 9622.7 14 12 8
8 0.383 13180 77 12 10
5 0.288 7763.3 0 12 3
3 0.288 4028.3 4 12 10
8 0.381 13855.2 99 12 8
5 0.287 22220 46 12 10
2 0.286 12780 80 12 11
5 0.286 12272 4 12 8
9 0.286 44971.2 6 12 6
6 0.285 4049.9 55 12 6
4 0.285 5675.7 4 12 4
